Video Title,Notes,Image 1,Image 2,Image 3,image 4,Credit Image,MP3,Youtube tags,Data record number
Carmen and Reynaldo - Cartas Marcadas - 4 Star 1018,Title: Cartas Marcadas ;Artist: Carmen and Reynaldo ; Record Label: 4 Star ;Matrix Number: V-3A-ME ;Recording Format: 78 ;Notes: (Marked Cards); ;View more information about this and other recordings at the University of California at Los Angeles' Frontera website: http://frontera.library.ucla.edu/recordings/cartas-marcadas;This recording is from the Arhoolie Foundation’s Strachwitz Collection of Mexican American and Mexican Recordings.;For more information about the Arhoolie Foundation visit our website at: http://www.arhoolie.org,frontera\4Stjpg\4St_1018_V-3A-ME.jpg,,,,frontera/youtube_Arhoolie_Foundation_credit Screen_.tif,frontera\4Stmp3\4St_1018_V-3A-ME.mp3,Frontera Collection; corrido,28
Carmen and Laura - Que Chula Prieta - 4 Star 1018,"Title: Que Chula Prieta ;Artist: Carmen and Laura ;Accompaniment: Isaac Figueroa - Accordion, Juan Garcia - Bajo sexto, Jesus Garcia - Contrabajo ;Record Label: 4 Star ;Matrix Number: V-3B-ME ;Recording Format: 78 ;Notes: (Beautiful Burneste); ;View more information about this and other recordings at the University of California at Los Angeles' Frontera website: http://frontera.library.ucla.edu/recordings/que-chula-prieta;This recording is from the Arhoolie Foundation’s Strachwitz Collection of Mexican American and Mexican Recordings.;For more information about the Arhoolie Foundation visit our website at: http://www.arhoolie.org",frontera\4Stjpg\4St_1018_V-3B-ME.jpg,,,,frontera/youtube_Arhoolie_Foundation_credit Screen_.tif,frontera\4Stmp3\4St_1018_V-3B-ME.mp3,Frontera Collection; corrido,29
Figueroa Trio - Sonrisa - 4 Star 1044,Title: Sonrisa ;Artist: Figueroa Trio ; Record Label: 4 Star ;Matrix Number: V-233ME ;Recording Format: 78 ;Notes: (Smiles); ;View more information about this and other recordings at the University of California at Los Angeles' Frontera website: http://frontera.library.ucla.edu/recordings/sonrisa;This recording is from the Arhoolie Foundation’s Strachwitz Collection of Mexican American and Mexican Recordings.;For more information about the Arhoolie Foundation visit our website at: http://www.arhoolie.org,frontera\4Stjpg\4St_1044_V-233ME.jpg,,,,frontera/youtube_Arhoolie_Foundation_credit Screen_.tif,frontera\4Stmp3\4St_1044_V-233ME.mp3,Frontera Collection; corrido ranchera,30
"Carmen, Reynaldo and Laura - Eternamente - 4 Star 1044","Title: Eternamente ;Artist: Carmen, Reynaldo and Laura ; Record Label: 4 Star ;Matrix Number: V-234ME ;Recording Format: 78 ;Notes: (Forever); ;View more information about this and other recordings at the University of California at Los Angeles' Frontera website: http://frontera.library.ucla.edu/recordings/eternamente;This recording is from the Arhoolie Foundation’s Strachwitz Collection of Mexican American and Mexican Recordings.;For more information about the Arhoolie Foundation visit our website at: http://www.arhoolie.org",frontera\4Stjpg\4St_1044_V-234ME.jpg,frontera/Photo_ARCHIVE_JPG/AFIA89.jpg,frontera/Photo_ARCHIVE_JPG/AFIA90.jpg,frontera/Photo_ARCHIVE_JPG/AFIA93.jpg,frontera/youtube_Arhoolie_Foundation_credit Screen_.tif,frontera\4Stmp3\4St_1044_V-234ME.mp3,Frontera Collection; corrido ranchera,31
Trio Figueroa - El Trotecito - 4 Star 1045,Title: El Trotecito ;Artist: Trio Figueroa ; Record Label: 4 Star ;Matrix Number: V-235-ME ;Recording Format: 78 ;Notes: (The Little Trot).; ;View more information about this and other recordings at the University of California at Los Angeles' Frontera website: http://frontera.library.ucla.edu/recordings/el-trotecito;This recording is from the Arhoolie Foundation’s Strachwitz Collection of Mexican American and Mexican Recordings.;For more information about the Arhoolie Foundation visit our website at: http://www.arhoolie.org,frontera\4Stjpg\4St_1045_V-235-ME.jpg,,,,frontera/youtube_Arhoolie_Foundation_credit Screen_.tif,frontera\4Stmp3\4St_1045_V-235-ME.mp3,Frontera Collection; polka,32
Trio Figueroa - La Pasajera - 4 Star 1046,Title: La Pasajera ;Artist: Trio Figueroa ; Record Label: 4 Star ;Matrix Number: V-237-ME ;Recording Format: 78 ;Notes: (The Passenger); ;View more information about this and other recordings at the University of California at Los Angeles' Frontera website: http://frontera.library.ucla.edu/recordings/la-pasajera;This recording is from the Arhoolie Foundation’s Strachwitz Collection of Mexican American and Mexican Recordings.;For more information about the Arhoolie Foundation visit our website at: http://www.arhoolie.org,frontera\4Stjpg\4St_1046_V-237-ME.jpg,,frontera/Photo_ARCHIVE_JPG/AFIA90.jpg,,frontera/youtube_Arhoolie_Foundation_credit Screen_.tif,frontera\4Stmp3\4St_1046_V-237-ME.mp3,Frontera Collection; corrido ranchero,34
Carmen and Laura - China De Los Ojos Negros - 4 Star 1046,Title: China De Los Ojos Negros ;Artist: Carmen and Laura ; Record Label: 4 Star ;Matrix Number: V-238-ME ;Recording Format: 78 ;Notes: (The One With Dark Eyes); ;View more information about this and other recordings at the University of California at Los Angeles' Frontera website: http://frontera.library.ucla.edu/recordings/china-de-los-ojos-negros;This recording is from the Arhoolie Foundation’s Strachwitz Collection of Mexican American and Mexican Recordings.;For more information about the Arhoolie Foundation visit our website at: http://www.arhoolie.org,frontera\4Stjpg\4St_1046_V-238-ME.jpg,frontera/Photo_ARCHIVE_JPG/AFIA89.jpg,frontera/Photo_ARCHIVE_JPG/AFIA90.jpg,frontera/Photo_ARCHIVE_JPG/AFIA93.jpg,frontera/youtube_Arhoolie_Foundation_credit Screen_.tif,frontera\4Stmp3\4St_1046_V-238-ME.mp3,Frontera Collection; corrido ranchero,35
Nilo Menendez - Brazil - 4 Star 1047,Title: Brazil ;Artist: Nilo Menendez ;Accompaniment: And His Latin Americans ;Record Label: 4 Star ;Matrix Number: V-224-ME ;Recording Format: 78; ;View more information about this and other recordings at the University of California at Los Angeles' Frontera website: http://frontera.library.ucla.edu/recordings/brazil;This recording is from the Arhoolie Foundation’s Strachwitz Collection of Mexican American and Mexican Recordings.;For more information about the Arhoolie Foundation visit our website at: http://www.arhoolie.org,frontera\4Stjpg\4St_1047_V-224-ME.jpg,,,,frontera/youtube_Arhoolie_Foundation_credit Screen_.tif,frontera\4Stmp3\4St_1047_V-224-ME.mp3,Frontera Collection; instrumental,36
Nilo Menendez - Saudade - 4 Star 1047,Title: Saudade ;Artist: Nilo Menendez ;Accompaniment: And His Latin Americans ;Record Label: 4 Star ;Matrix Number: V-226-ME ;Recording Format: 78; ;View more information about this and other recordings at the University of California at Los Angeles' Frontera website: http://frontera.library.ucla.edu/recordings/saudade;This recording is from the Arhoolie Foundation’s Strachwitz Collection of Mexican American and Mexican Recordings.;For more information about the Arhoolie Foundation visit our website at: http://www.arhoolie.org,frontera\4Stjpg\4St_1047_V-226-ME.jpg,,,,frontera/youtube_Arhoolie_Foundation_credit Screen_.tif,frontera\4Stmp3\4St_1047_V-226-ME.mp3,Frontera Collection; instrumental,37
Nilo Menendez - Ven Mi Negrita - 4 Star 1048,"Title: Ven Mi Negrita ;Artist: Nilo Menendez ;Accompaniment: And His Latin Americans, vocal: Chuy Castillon ;Record Label: 4 Star ;Matrix Number: V-227-ME ;Recording Format: 78 ;Notes: Vocal By Chuy Castillon; ;View more information about this and other recordings at the University of California at Los Angeles' Frontera website: http://frontera.library.ucla.edu/recordings/ven-mi-negrita;This recording is from the Arhoolie Foundation’s Strachwitz Collection of Mexican American and Mexican Recordings.;For more information about the Arhoolie Foundation visit our website at: http://www.arhoolie.org",frontera\4Stjpg\4St_1048_V-227-ME.jpg,,,,frontera/youtube_Arhoolie_Foundation_credit Screen_.tif,frontera\4Stmp3\4St_1048_V-227-ME.mp3,Frontera Collection,38
Nilo Menendez - Polonaise - 4 Star 1048,Title: Polonaise ;Artist: Nilo Menendez ;Accompaniment: And His Latin Americans ;Record Label: 4 Star ;Matrix Number: V-228-ME ;Recording Format: 78; ;View more information about this and other recordings at the University of California at Los Angeles' Frontera website: http://frontera.library.ucla.edu/recordings/polonaise;This recording is from the Arhoolie Foundation’s Strachwitz Collection of Mexican American and Mexican Recordings.;For more information about the Arhoolie Foundation visit our website at: http://www.arhoolie.org,frontera\4Stjpg\4St_1048_V-228-ME.jpg,,,,frontera/youtube_Arhoolie_Foundation_credit Screen_.tif,frontera\4Stmp3\4St_1048_V-228-ME.mp3,Frontera Collection; instrumental,39
Nilo Menendez - Baja - 4 Star 1049,Title: Baja ;Artist: Nilo Menendez ;Accompaniment: And His Latin Americans ;Record Label: 4 Star ;Matrix Number: V-225-ME ;Recording Format: 78; ;View more information about this and other recordings at the University of California at Los Angeles' Frontera website: http://frontera.library.ucla.edu/recordings/baja;This recording is from the Arhoolie Foundation’s Strachwitz Collection of Mexican American and Mexican Recordings.;For more information about the Arhoolie Foundation visit our website at: http://www.arhoolie.org,frontera\4Stjpg\4St_1049_V-225-ME.jpg,,,,frontera/youtube_Arhoolie_Foundation_credit Screen_.tif,frontera\4Stmp3\4St_1049_V-225-ME.mp3,Frontera Collection; instrumental,40
